"","","","","","WIDEBODY","","","",""
"","","","","U.S. OUTBOUND TO EMEIA","","","","",""
"","Orig","Dest","Departs","Arrives","Fleet","Flight","DOW","Start Date","End Date"
"","JFK","DUB","21:35","09:15","B767","DL0044","DAILY","01Oct2023","31Oct2023"
"","JFK","EDI","22:15","10:05","B767","DL0208","DAILY","01Oct2023","30Oct2023"
"","JFK","FCO","22:30","13:05","B767","DL0148","DAILY","01Oct2023","27Oct2023"
"","JFK","FCO","16:55","07:30","A330","DL0182","DAILY","01Oct2023","31Oct2023"
"","JFK","FCO","19:00","10:20","A330","DL0230","DAILY","01Oct2023","31Oct2023"
"","JFK","FRA","18:55","08:55","A330","DL0106","DAILY","01Oct2023","31Oct2023"
"","JFK","GVA","20:55","10:50","B767","DL0100","DAILY","01Oct2023","27Oct2023"
"","JFK","LGW","23:45","12:10","B767","DL0062","DAILY","01Oct2023","27Oct2023"
"","JFK","LHR","19:30","07:55","B767","DL0001","DAILY","01Oct2023","31Oct2023"
"","JFK","LHR","22:00","10:30","A330","DL0003","DAILY","01Oct2023","31Oct2023"
"","JFK","LIS","19:50","08:00","B767","DL0272","DAILY","01Oct2023","31Oct2023"
"","JFK","MAD","17:59","07:45","B767","DL0126","DAILY","01Oct2023","31Oct2023"
"","JFK","MXP","19:45","09:55","B767","DL0184","DAILY","01Oct2023","31Oct2023"
"","JFK","MXP","16:45","06:45","A330","DL0198","DAILY","01Oct2023","27Oct2023"
"","JFK","NCE","17:30","08:15","A330","DL0028","DAILY","01Oct2023","27Oct2023"
"","JFK","TLV","23:45","17:35","A330","DL0234","DAILY","01Oct2023","31Oct2023"
"","JFK","VCE","19:05","09:35","B767","DL0288","DAILY","01Oct2023","27Oct2023"
"","JFK","ZRH","20:45","10:35","B767","DL0052","DAILY","01Oct2023","31Oct2023"
"","LAX","CDG","17:05","13:05","A330","DL0290","DAILY","01Oct2023","31Oct2023"
"","LAX","LHR","19:55","14:50","A330","DL0186","DAILY","01Oct2023","31Oct2023"
"","MCO","AMS","20:05","10:15","A330","DL0036","DAILY","28Oct2023","31Oct2023"
"","MSP","AMS","16:30","08:15","A330","DL0160","DAILY","01Oct2023","31Oct2023"
"","MSP","AMS","19:20","11:15","A330","DL0162","DAILY","01Oct2023","31Oct2023"
"","MSP","AMS","21:25","12:35","A330","DL0164","DAILY","01Oct2023","27Oct2023"
"","MSP","CDG","21:40","13:05","A330","DL0138","DAILY","01Oct2023","27Oct2023"
"","MSP","CDG","16:30","08:15","A330","DL0152","DAILY","01Oct2023","31Oct2023"
"","MSP","LHR","17:20","07:15","A330","DL0010","DAILY","01Oct2023","31Oct2023"
"","PDX","AMS","14:00","09:15","A330","DL0178","DAILY","01Oct2023","31Oct2023"
"","RDU","CDG","18:00","08:10","B767","DL0286","DAILY","01Oct2023","27Oct2023"
"","SEA","AMS","13:40","09:25","A330","DL0142","DAILY","01Oct2023","31Oct2023"
"","SEA","AMS","18:05","13:05","A330","DL0144","DAILY","01Oct2023","27Oct2023"
"","SEA","CDG","13:40","13:25","A330","DL0080","DAILY","01Oct2023","31Oct2023"
